slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
60,104,z6_GNW_11480,189.157516,62.176079,0,0,0.001000000047497451,3,2000,TARGET,7462.64322896003,9985.34910160821,B
216,303,3DHST_3576,189.20037842,62.15221405,0,0,0.001000000047497451,6,2000,TARGET,7240.214535078771,9763.019216130062,B
827,1703,z5_GNW_7098,189.214188,62.149055,0,0,0.001000000047497451,5,2000,TARGET,7194.750742018,9717.575441079065,B
234,326,3DHST_4120,189.20843506,62.15649414,0,0,0.001000000047497451,6,2000,TARGET,7249.181951612095,9771.982307283526,B
7,12,Stark11_42_13066,189.156387,62.197666,0,0,0.001000000047497451,1,2000,TARGET,7589.721366935571,10112.369972078297,B
889,1778,z5_GND_39445,189.17865,62.187237,0,0,0.001000000047497451,5,2000,TARGET,7485.76565875152,10008.460396290573,B
878,1767,z5_GND_40815,189.194717,62.181686,0,0,0.001000000047497451,5,2000,TARGET,7422.189171667929,9944.912059237393,B
50,84,z6_GND_3649,189.206741,62.177505,0,0,0.001000000047497451,3,2000,TARGET,7374.458599843706,9897.2026288764,B
869,1758,z5_GND_908,189.245544,62.154888,0,0,0.001000000047497451,5,2000,TARGET,7167.284439166032,9690.120583507996,B
278,374,3DHST_5689,189.23144531,62.1681633,0,0,0.001000000047497451,6,2000,TARGET,7272.023753223876,9794.813197404708,B
53,87,z6_GND_36100,189.191269,62.19952,0,0,0.001000000047497451,3,2000,TARGET,7532.524430127448,10055.197848724105,B
9,14,Stark11_32_16773,189.1978,62.199982,0,0,0.001000000047497451,1,2000,TARGET,7522.548737073842,10045.226499790486,B
876,1765,z5_GND_2774,189.245148,62.17205,0,0,0.001000000047497451,5,2000,TARGET,7268.072293711591,9790.863236419482,B
48,82,z6_GND_2164,189.25708,62.167366,0,0,0.001000000047497451,3,2000,TARGET,7217.631928508057,9740.445262768699,B
